function	n=50_b=0.1_c=0.2_d=0.0	n=50_b=0.2_c=0.1_d=0.0	n=50_b=0.2_c=0.2_d=0.0	n=100_b=1.5_c=0.1_d=0.0	n=100_b=1_c=0.1_d=0.0	n=100_b=1_c=0.2_d=0.0	n=50_b=0.1_c=0.2_d=0.0	n=50_b=0.2_c=0.1_d=0.0	n=50_b=0.2_c=0.2_d=0.0	n=100_b=1.5_c=0.1_d=0.0	n=100_b=1_c=0.1_d=0.0	n=100_b=1_c=0.2_d=0.0
1	0.0052123	6.60E-005	4.21E-004	2.18E-009	3.58E-009	2.73E-007	4.07E-004	5.53E-008	4.66E-005	1.30E-009	1.92E-009	2.02E-007
2	7.6482789	0.62784841	0.6266202	5.91E-005	4.56E-005	2.56E-004	0.4582138	5.13E-005	0.05764137	6.92E-006	1.33E-006	1.70E-004
3	6.758961	3.363511	2.855197	2.60E-006	3.19E-006	1.75E-004	0.3673151	3.33E-005	0.036487851	8.96E-007	1.11E-006	1.29E-004
4	8.027733	3.778298	3.425923	0.0995092197	3.54E-005	3.93E-004	1.2210613	6.99E-005	0.07231825	1.35E-006	1.69E-006	3.33E-004
5	-7.11E-015	-7.11E-015	-7.11E-015	-7.11E-015	-7.11E-015	-7.11E-015	-7.11E-015	-7.11E-015	-7.11E-015	-7.11E-015	-7.11E-015	-7.11E-015
6	16.04642	225.53924	36.933482	19.668244	56.447269	5.6039427	0.06222968	174.518664	0.14169181	52.0574728	40.253363177	0.2586890712
7	12.040222	90.17407	25.92195	40.66987	38.630926	13.89719	7.738224	38.960469	7.350373	43.23631	43.77587	11.941525
8	6.423812	11.314285	2.0600564	1.33601441	1.7710542	0.708332221	5.2643671	10.351050725	10.8036302	88.8184510747	8.8872871	10.7877062
9	8.536447	41.342383	5.122981	45.128269	27.902351	6.013627	453.693692	2013.446622	1361.506992	1931.663864	1089.4588	940.446181
10	130622.35	410318.9	188819.7	159659.39	171231.81	113927.38	200700.25	550839.15	230321.11	389154.1	394812.63	173952.09
11	3005.756	2866.469	2709.662	2504.8491	2872.759	1888.2193	2701.647	6400.478	2042.309	6881.896	6173.817	2001.6573
12	5551.653	364999.44	584.25954	264.80893224	116.34145858	8.7618861	5129842.7834	1213095.31502437	456920.99262	3473552.26663	3.15E+007	40461.80363
13	16.162809	75.68025	8.062063	7.7727445	6.23877683	1.9272459	19.39569	78.5368552	15.480969	45.7478604	129.0772857	42.230145
14	0.02087746	1.89113656	0.011606613	0.004927501	0.003420569	0.0014887574	0.0016977206	0.002334299	9.29E-004	0.00288609	0.0017235669	7.81E-004
15	33.64965	132.70026	44.15483	128.20013	102.62133	66.89785	59.12186	141.23421	53.90047	162.37746	163.4692	95.12068
16	4.132448	17.296856	5.723187	19.80466	17.47254	7.248828	8.230962	28.911698	10.926603	22.919766	30.846376	16.714943
17	0.548704	3.326643	1.2525731	3.186559	3.235676	1.4162174	0.89870816	5.455071	0.73340832	6.531076	3.614487	2.0564734
18	1.976329	14.219217	3.392092	10.609335	10.246166	5.007377	1.6130138	12.415635	3.0942108	20.124176	18.92166	10.227104
19	2.664456	2.847697	2.044484	3.446044	2.982548	1.1405768	1.3896808	17.8415971	3.086365	20.680186	40.439632	6.742756
20	0.605791	0.8675379	0.4596995	0.6052038	0.6747033	0.3513404	0.315154	0.6076168579	0.3330174	0.6127919	0.5697971	0.3039006
21	0.2225401755	1.02795146	0.1049059195	0.857212416	1.2987595022	0.7315599876	2.0837770356	12.884571	4.6740727007	6.8906300869	8.301853	5.7593168
22	0.57225908	1.4418861	0.6985732	1.3232356	1.0033732	0.6335841	6.481768242	6.0432632	10.7269212	20.087432011	19.0792918	10.0942489
23	1.1419382	1.3408533	0.8740309	1.8302912	1.53367	0.4660106	0.7440359	2.5472403	0.6965568	2.2507478	2.2023307	1.2340275
24	37.97822	59.20644	30.17851	61.28575	65.75938	28.39739	24.10273	59.31321	30.76198	71.8458	88.45343	45.23204
